group,groupcode,species,scientific,raritycode,pelagic,shorebird,passerine
Grouse/Turkey,5,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,2,0,0,0
Grouse/Turkey,5,Wild Turkey,Meleagris gallopavo,1,0,0,0
Loons,6,Red-throated Loon,Gavia stellata,1,0,0,0
Loons,6,Arctic Loon,Gavia arctica,2,0,0,0
Loons,6,Pacific Loon,Gavia pacifica,1,0,0,0
Loons,6,Common Loon,Gavia immer,1,0,0,0
Loons,6,Yellow-billed Loon,Gavia adamsii,2,0,0,0
Grebes,7,Least Grebe,Tachybaptus dominicus,2,0,0,0
Grebes,7,Pied-billed Grebe,Podilymbus podiceps,1,0,0,0
Grebes,7,Horned Grebe,Podiceps auritus,1,0,0,0
Grebes,7,Red-necked Grebe,Podiceps grisegena,1,0,0,0
Grebes,7,Eared Grebe,Podiceps nigricollis,1,0,0,0
Grebes,7,Western Grebe,Aechmophorus occidentalis,1,0,0,0
Grebes,7,Clark's Grebe,Aechmophorus clarkii,1,0,0,0
Flamingos,8,American Flamingo,Phoenicopterus ruber,3,0,0,0
Albatrosses,9,Yellow-nosed Albatross,Thalassarche chlororhynchos,4,1,0,0
Albatrosses,9,Shy Albatross,Thalassarche cauta,4,1,0,0
Albatrosses,9,Black-browed Albatross,Thalassarche melanophris,5,1,0,0
Albatrosses,9,Light-mantled Albatross,Phoebetria palpebrata,5,1,0,0
Albatrosses,9,Wandering Albatross,Diomedea exulans,5,1,0,0
Albatrosses,9,Laysan Albatross,Phoebastria immutabilis,2,1,0,0
Albatrosses,9,Black-footed Albatross,Phoebastria nigripes,1,1,0,0
Albatrosses,9,Short-tailed Albatross,Phoebastria albatrus,3,1,0,0
Shearwaters/Petrels,10,Northern Fulmar,Fulmarus glacialis,1,1,0,0
Shearwaters/Petrels,10,Great-winged Petrel,Pterodroma macroptera,5,1,0,0
Shearwaters/Petrels,10,Providence Petrel,Pterodroma solandri,4,1,0,0
Shearwaters/Petrels,10,Herald Petrel,Pterodroma arminjoniana,3,1,0,0
Shearwaters/Petrels,10,Murphy's Petrel,Pterodroma ultima,3,1,0,0
Shearwaters/Petrels,10,Mottled Petrel,Pterodroma inexpectata,2,1,0,0
Shearwaters/Petrels,10,Bermuda Petrel,Pterodroma cahow,3,1,0,0
Shearwaters/Petrels,10,Black-capped Petrel,Pterodroma hasitata,2,1,0,0
Shearwaters/Petrels,10,Galapagos/Hawaiian Petrel,Pterodroma phaeopygia/sandwichensis,4,1,0,0
Shearwaters/Petrels,10,Fea's Petrel,Pterodroma feae,3,1,0,0
Shearwaters/Petrels,10,Cook's Petrel,Pterodroma cookii,3,1,0,0
Shearwaters/Petrels,10,Stejneger's Petrel,Pterodroma longirostris,4,1,0,0
Shearwaters/Petrels,10,Bulwer's Petrel,Bulweria bulwerii,5,1,0,0
Shearwaters/Petrels,10,White-chinned Petrel,Procellaria aequinoctialis,5,1,0,0
Shearwaters/Petrels,10,Parkinson's Petrel,Procellaria parkinsoni,5,1,0,0
Shearwaters/Petrels,10,Streaked Shearwater,Calonectris leucomelas,4,1,0,0
Shearwaters/Petrels,10,Cory's Shearwater,Calonectris diomedea,1,1,0,0
Shearwaters/Petrels,10,Cape Verde Shearwater,Calonectris edwardsii,5,1,0,0
Shearwaters/Petrels,10,Pink-footed Shearwater,Puffinus creatopus,1,1,0,0
Shearwaters/Petrels,10,Flesh-footed Shearwater,Puffinus carneipes,3,1,0,0
Shearwaters/Petrels,10,Great Shearwater,Puffinus gravis,1,1,0,0
Shearwaters/Petrels,10,Wedge-tailed Shearwater,Puffinus pacificus,4,1,0,0
Shearwaters/Petrels,10,Buller's Shearwater,Puffinus bulleri,2,1,0,0
Shearwaters/Petrels,10,Sooty Shearwater,Puffinus griseus,1,1,0,0
Shearwaters/Petrels,10,Short-tailed Shearwater,Puffinus tenuirostris,2,1,0,0
Shearwaters/Petrels,10,Manx Shearwater,Puffinus puffinus,2,1,0,0
Shearwaters/Petrels,10,Townsend's Shearwater,Puffinus auricularis,5,1,0,0
Shearwaters/Petrels,10,Black-vented Shearwater,Puffinus opisthomelas,2,1,0,0
Shearwaters/Petrels,10,Audubon's Shearwater,Puffinus lherminieri,1,1,0,0
Shearwaters/Petrels,10,Little Shearwater,Puffinus assimilis,5,1,0,0
Storm-Petrels,11,Wilson's Storm-Petrel,Oceanites oceanicus,1,1,0,0
Storm-Petrels,11,White-faced Storm-Petrel,Pelagodroma marina,3,1,0,0
Storm-Petrels,11,European Storm-Petrel,Hydrobates pelagicus,4,1,0,0
Storm-Petrels,11,Black-bellied Storm-Petrel,Fregetta tropica,5,1,0,0
Storm-Petrels,11,Fork-tailed Storm-Petrel,Oceanodroma furcata,2,1,0,0
Storm-Petrels,11,Ringed Storm-Petrel,Oceanodroma hornbyi,5,1,0,0
Storm-Petrels,11,Swinhoe's Storm-Petrel,Oceanodroma monorhis,5,1,0,0
Storm-Petrels,11,Leach's Storm-Petrel,Oceanodroma leucorhoa,1,1,0,0
Storm-Petrels,11,Ashy Storm-Petrel,Oceanodroma homochroa,2,1,0,0
Storm-Petrels,11,Band-rumped Storm-Petrel,Oceanodroma castro,2,1,0,0
Storm-Petrels,11,Wedge-rumped Storm-Petrel,Oceanodroma tethys,4,1,0,0
Storm-Petrels,11,Black Storm-Petrel,Oceanodroma melania,2,1,0,0
Storm-Petrels,11,Tristram's Storm-Petrel,Oceanodroma tristrami,5,1,0,0
Storm-Petrels,11,Least Storm-Petrel,Oceanodroma microsoma,3,1,0,0
Tropicbirds,12,White-tailed Tropicbird,Phaethon lepturus,3,1,0,0
Tropicbirds,12,Red-billed Tropicbird,Phaethon aethereus,3,1,0,0
Tropicbirds,12,Red-tailed Tropicbird,Phaethon rubricauda,4,1,0,0
Storks,13,Jabiru,Jabiru mycteria,4,0,0,0
Storks,13,Wood Stork,Mycteria americana,1,0,0,0
Frigatebirds,14,Magnificent Frigatebird,Fregata magnificens,1,1,0,0
Frigatebirds,14,Great Frigatebird,Fregata minor,5,1,0,0
Frigatebirds,14,Lesser Frigatebird,Fregata ariel,5,1,0,0
Sulidae,15,Masked Booby,Sula dactylatra,3,1,0,0
Sulidae,15,Blue-footed Booby,Sula nebouxii,4,1,0,0
Sulidae,15,Brown Booby,Sula leucogaster,3,1,0,0
Sulidae,15,Red-footed Booby,Sula sula,4,1,0,0
Sulidae,15,Northern Gannet,Morus bassanus,1,1,0,0
Cormorants,16,Brandt's Cormorant,Phalacrocorax penicillatus,1,0,0,0
Cormorants,16,Neotropic Cormorant,Phalacrocorax brasilianus,1,0,0,0
Cormorants,16,Double-crested Cormorant,Phalacrocorax auritus,1,0,0,0
Cormorants,16,Great Cormorant,Phalacrocorax carbo,1,0,0,0
Cormorants,16,Red-faced Cormorant,Phalacrocorax urile,2,0,0,0
Cormorants,16,Pelagic Cormorant,Phalacrocorax pelagicus,1,0,0,0
Darters,17,Anhinga,Anhinga anhinga,1,0,0,0
Pelicans,18,American White Pelican,Pelecanus erythrorhynchos,1,0,0,0
Pelicans,18,Brown Pelican,Pelecanus occidentalis,1,0,0,0
Herons/Egrets,19,American Bittern,Botaurus lentiginosus,1,0,0,0
Herons/Egrets,19,Yellow Bittern,Ixobrychus sinensis,5,0,0,0
Herons/Egrets,19,Least Bittern,Ixobrychus exilis,1,0,0,0
Herons/Egrets,19,Bare-throated Tiger-Heron,Tigrisoma mexicanum,5,0,0,0
Herons/Egrets,19,Great Blue Heron,Ardea herodias,1,0,0,0
Herons/Egrets,19,Gray Heron,Ardea cinerea,5,0,0,0
Herons/Egrets,19,Great Egret,Ardea alba,1,0,0,0
Herons/Egrets,19,Intermediate Egret,Mesophoyx intermedia,5,0,0,0
Herons/Egrets,19,Chinese Egret,Egretta eulophotes,5,0,0,0
Herons/Egrets,19,Little Egret,Egretta garzetta,4,0,0,0
Herons/Egrets,19,Western Reef-Heron,Egretta gularis,5,0,0,0
Herons/Egrets,19,Snowy Egret,Egretta thula,1,0,0,0
Herons/Egrets,19,Little Blue Heron,Egretta caerulea,1,0,0,0
Herons/Egrets,19,Tricolored Heron,Egretta tricolor,1,0,0,0
Herons/Egrets,19,Reddish Egret,Egretta rufescens,1,0,0,0
Herons/Egrets,19,Cattle Egret,Bubulcus ibis,1,0,0,0
Herons/Egrets,19,Chinese Pond-Heron,Ardeola bacchus,5,0,0,0
Herons/Egrets,19,Green Heron,Butorides virescens,1,0,0,0
Herons/Egrets,19,Black-crowned Night-Heron,Nycticorax nycticorax,1,0,0,0
Herons/Egrets,19,Yellow-crowned Night-Heron,Nyctanassa violacea,1,0,0,0
Ibises,20,White Ibis,Eudocimus albus,1,0,0,0
Ibises,20,Scarlet Ibis,Eudocimus ruber,5,0,0,0
Ibises,20,Glossy Ibis,Plegadis falcinellus,1,0,0,0
Ibises,20,White-faced Ibis,Plegadis chihi,1,0,0,0
Ibises,20,Roseate Spoonbill,Platalea ajaja,1,0,0,0
Vultures,21,Black Vulture,Coragyps atratus,1,0,0,0
Vultures,21,Turkey Vulture,Cathartes aura,1,0,0,0
Vultures,21,California Condor,Gymnogyps californianus,6,0,0,0
Ospreys,22,Osprey,Pandion haliaetus,1,0,0,0
Raptors,23,Hook-billed Kite,Chondrohierax uncinatus,3,0,0,0
Raptors,23,Swallow-tailed Kite,Elanoides forficatus,1,0,0,0
Raptors,23,White-tailed Kite,Elanus leucurus,1,0,0,0
Raptors,23,Snail Kite,Rostrhamus sociabilis,2,0,0,0
Raptors,23,Double-toothed Kite,Harpagus bidentatus,5,0,0,0
Raptors,23,Mississippi Kite,Ictinia mississippiensis,1,0,0,0
Raptors,23,Bald Eagle,Haliaeetus leucocephalus,1,0,0,0
Raptors,23,White-tailed Eagle,Haliaeetus albicilla,4,0,0,0
Raptors,23,Steller's Sea-Eagle,Haliaeetus pelagicus,4,0,0,0
Raptors,23,Northern Harrier,Circus cyaneus,1,0,0,0
Raptors,23,Sharp-shinned Hawk,Accipiter striatus,1,0,0,0
Raptors,23,Cooper's Hawk,Accipiter cooperii,1,0,0,0
Raptors,23,Northern Goshawk,Accipiter gentilis,1,0,0,0
Raptors,23,Crane Hawk,Geranospiza caerulescens,5,0,0,0
Raptors,23,Common Black-Hawk,Buteogallus anthracinus,2,0,0,0
Raptors,23,Harris's Hawk,Parabuteo unicinctus,1,0,0,0
Raptors,23,Roadside Hawk,Buteo magnirostris,4,0,0,0
Raptors,23,Red-shouldered Hawk,Buteo lineatus,1,0,0,0
Raptors,23,Broad-winged Hawk,Buteo platypterus,1,0,0,0
Raptors,23,Gray Hawk,Buteo plagiatus,2,0,0,0
Raptors,23,Short-tailed Hawk,Buteo brachyurus,2,0,0,0
Raptors,23,Swainson's Hawk,Buteo swainsoni,1,0,0,0
Raptors,23,White-tailed Hawk,Buteo albicaudatus,2,0,0,0
Raptors,23,Zone-tailed Hawk,Buteo albonotatus,2,0,0,0
Raptors,23,Red-tailed Hawk,Buteo jamaicensis,1,0,0,0
Raptors,23,Ferruginous Hawk,Buteo regalis,1,0,0,0
Raptors,23,Rough-legged Hawk,Buteo lagopus,1,0,0,0
Raptors,23,Golden Eagle,Aquila chrysaetos,1,0,0,0
Rails,24,Yellow Rail,Coturnicops noveboracensis,2,0,0,0
Rails,24,Black Rail,Laterallus jamaicensis,2,0,0,0
Rails,24,Corn Crake,Crex crex,4,0,0,0
Rails,24,Clapper Rail,Rallus longirostris,1,0,0,0
Rails,24,King Rail,Rallus elegans,1,0,0,0
Rails,24,Virginia Rail,Rallus limicola,1,0,0,0
Rails,24,Sora,Porzana carolina,1,0,0,0
Rails,24,Paint-billed Crake,Neocrex erythrops,5,0,0,0
Rails,24,Spotted Rail,Pardirallus maculatus,5,0,0,0
Rails,24,Purple Gallinule,Porphyrio martinicus,1,0,0,0
Rails,24,Common Gallinule,Gallinula galeata,1,0,0,0
Rails,24,Eurasian Coot,Fulica atra,5,0,0,0
Rails,24,American Coot,Fulica americana,1,0,0,0
Sungrebes,25,Sungrebe,Heliornis fulica,5,0,0,0
Limpkins,26,Limpkin,Aramus guarauna,2,0,0,0
Cranes,27,Sandhill Crane,Grus canadensis,1,0,0,0
Cranes,27,Common Crane,Grus grus,4,0,0,0
Cranes,27,Whooping Crane,Grus americana,2,0,0,0
Thick-knees,28,Double-striped Thick-knee,Burhinus bistriatus,5,0,1,0
Plovers/Lapwings,29,Northern Lapwing,Vanellus vanellus,4,0,1,0
Plovers/Lapwings,29,Black-bellied Plover,Pluvialis squatarola,1,0,1,0
Plovers/Lapwings,29,European Golden-Plover,Pluvialis apricaria,4,0,1,0
Plovers/Lapwings,29,American Golden-Plover,Pluvialis dominica,1,0,1,0
Plovers/Lapwings,29,Pacific Golden-Plover,Pluvialis fulva,2,0,1,0
Plovers/Lapwings,29,Lesser Sand-Plover,Charadrius mongolus,3,0,1,0
Plovers/Lapwings,29,Greater Sand-Plover,Charadrius leschenaultii,5,0,1,0
Plovers/Lapwings,29,Collared Plover,Charadrius collaris,5,0,1,0
Plovers/Lapwings,29,Snowy Plover,Charadrius nivosus,1,0,1,0
Plovers/Lapwings,29,Wilson's Plover,Charadrius wilsonia,1,0,1,0
Plovers/Lapwings,29,Common Ringed Plover,Charadrius hiaticula,2,0,1,0
Plovers/Lapwings,29,Semipalmated Plover,Charadrius semipalmatus,1,0,1,0
Plovers/Lapwings,29,Piping Plover,Charadrius melodus,2,0,1,0
Plovers/Lapwings,29,Little Ringed Plover,Charadrius dubius,5,0,1,0
Plovers/Lapwings,29,Killdeer,Charadrius vociferus,1,0,1,0
Plovers/Lapwings,29,Mountain Plover,Charadrius montanus,2,0,1,0
Plovers/Lapwings,29,Eurasian Dotterel,Charadrius morinellus,4,0,1,0
Oystercatchers,30,Eurasian Oystercatcher,Haematopus ostralegus,5,0,0,0
Oystercatchers,30,American Oystercatcher,Haematopus palliatus,1,0,0,0
Oystercatchers,30,Black Oystercatcher,Haematopus bachmani,1,0,0,0
Stilts/Avocets,31,Black-winged Stilt,Himantopus himantopus,5,0,1,0
Stilts/Avocets,31,Black-necked Stilt,Himantopus mexicanus,1,0,1,0
Stilts/Avocets,31,American Avocet,Recurvirostra americana,1,0,1,0
Jacanas,32,Northern Jacana,Jacana spinosa,4,0,0,0
Sandpiper/Allies,33,Terek Sandpiper,Xenus cinereus,3,0,1,0
Sandpiper/Allies,33,Common Sandpiper,Actitis hypoleucos,3,0,1,0
Sandpiper/Allies,33,Spotted Sandpiper,Actitis macularius,1,0,1,0
Sandpiper/Allies,33,Green Sandpiper,Tringa ochropus,4,0,1,0
Sandpiper/Allies,33,Solitary Sandpiper,Tringa solitaria,1,0,1,0
Sandpiper/Allies,33,Gray-tailed Tattler,Tringa brevipes,3,0,1,0
Sandpiper/Allies,33,Wandering Tattler,Tringa incana,1,0,1,0
Sandpiper/Allies,33,Spotted Redshank,Tringa erythropus,4,0,1,0
Sandpiper/Allies,33,Greater Yellowlegs,Tringa melanoleuca,1,0,1,0
