"id","species","scientific","group","groupcode","raritycode","pelagic","shorebird","passerine","1.1","1.2","1.3","1.4","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","4.1","4.2","4.3","4.4","5.1","5.2","5.3","5.4","6.1","6.2","6.3","6.4","7.1","7.2","7.3","7.4","8.1","8.2","8.3","8.4","9.1","9.2","9.3","9.4","10.1","10.2","10.3","10.4","11.1","11.2","11.3","11.4","12.1","12.2","12.3","12.4"
1,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","Ducks/Geese",1,1,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011976047904191617","0.0","0.0","0.0","0.0","0.0036496350364963502","0.0","0.0",0.005,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Greater White-fronted Goose","Anser albifrons","Ducks/Geese",1,1,0,0,0,"0.026565464895635674","0.018518518518518517","0.021739130434782608","0.03937007874015748","0.013793103448275862","0.00880503144654088","0.024717893605588393","0.1592505854800937","0.10344827586206896","0.08070866141732283","0.05025125628140704","0.034013605442176874","0.014652014652014652","0.017921146953405017","0.009202453987730062","0.00351288056206089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.005,"0.0","0.0","0.009404388714733543","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Snow Goose","Chen caerulescens","Ducks/Geese",1,1,0,0,0,"0.05313092979127135","0.06084656084656084","0.09420289855072464","0.08661417322834646","0.05172413793103448","0.027672955974842768","0.04083825900053734","0.2529274004683841","0.14482758620689656","0.1594488188976378","0.09296482412060302","0.05170068027210884","0.031135531135531136","0.03942652329749104","0.023006134969325152","0.01522248243559719","0.012359550561797753","0.012030075187969926","0.026578073089700997","0.017432646592709985","0.0","0.006172839506172839","0.007518796992481203","0.0027548209366391185","0.0035587188612099642","0.0","0.006920415224913495","0.0",0.005,"0.008928571428571428","0.009174311926605505","0.0","0.004739336492890996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Ross's Goose","Chen rossii","Ducks/Geese",1,1,0,0,0,"0.007590132827324478","0.0026455026455026454","0.012077294685990338","0.017716535433070866","0.0034482758620689655","0.005031446540880503","0.0053734551316496505","0.06557377049180328","0.0367816091954023","0.031496062992125984","0.02763819095477387","0.013605442176870748","0.018315018315018316","0.005376344086021506","0.007668711656441718","0.00702576112412178","0.006741573033707865","0.0015037593984962407","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Cackling Goose","Branta hutchinsii","Ducks/Geese",1,1,0,0,0,"0.036053130929791274","0.06349206349206349","0.057971014492753624","0.05905511811023622","0.04482758620689655","0.018867924528301886","0.013433637829124127","0.053864168618266976","0.052873563218390804","0.025590551181102362","0.002512562814070352","0.005442176870748299","0.003663003663003663","0.0017921146953405018","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Canada Goose","Branta canadensis","Ducks/Geese",1,1,0,0,0,"0.27514231499051234","0.41005291005291006","0.4057971014492754","0.3110236220472441","0.20689655172413793","0.1660377358490566","0.2138635142396561","0.45433255269320844","0.4068965517241379","0.46653543307086615","0.45226130653266333","0.39319727891156464","0.3717948717948718","0.3888888888888889","0.3159509202453988","0.3594847775175644","0.34269662921348315","0.3172932330827068","0.313953488372093","0.2868462757527734","0.2275449101796407","0.16358024691358025","0.16541353383458646","0.15151515151515152","0.17793594306049823","0.18613138686131386","0.2629757785467128","0.24127906976744187",0.22,"0.24107142857142858","0.25688073394495414","0.2445141065830721","0.26066350710900477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Mute Swan","Cygnus olor","Ducks/Geese",1,1,0,0,0,"0.0018975332068311196","0.0026455026455026454","0.007246376811594203","0.003937007874015748","0.010344827586206896","0.0","5.373455131649651E-4","0.00936768149882904","0.016091954022988506","0.007874015748031496","0.01507537688442211","0.009523809523809525","0.009157509157509158","0.016129032258064516","0.003067484662576687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Trumpeter Swan","Cygnus buccinator","Ducks/Geese",1,1,0,0,0,"0.04743833017077799","0.082010582010582","0.07246376811594203","0.07086614173228346","0.03793103448275862","0.031446540880503145","0.02095647501343364","0.08665105386416862","0.07586206896551724","0.04133858267716536","0.03768844221105527","0.00816326530612245","0.016483516483516484","0.0017921146953405018","0.004601226993865031","0.00117096018735363","0.0011235955056179776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Tundra Swan","Cygnus columbianus","Ducks/Geese",1,1,0,0,0,"0.020872865275142316","0.018518518518518517","0.03140096618357488","0.011811023622047244","0.017241379310344827","0.010062893081761006","0.0037614185921547557","0.01405152224824356","0.009195402298850575","0.001968503937007874","0.01256281407035176","0.0013605442176870747","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
